iter	Passed	Remaining
0	2	231
1	4	212
2	6	208
3	8	201
4	10	196
5	11	187
6	13	181
7	15	175
8	16	170
9	18	165
10	19	161
11	22	163
12	24	166
13	27	166
14	29	164
15	31	162
16	32	160
17	34	157
18	36	157
19	38	154
20	41	154
21	44	156
22	46	157
23	49	157
24	52	158
25	56	159
26	59	161
27	62	161
28	65	161
29	68	159
30	70	157
31	73	155
32	76	154
33	78	151
34	80	149
35	82	146
36	85	144
37	87	142
38	89	139
39	91	137
40	93	134
41	94	130
42	96	128
43	98	125
44	101	123
45	103	121
46	105	118
47	107	116
48	109	114
49	111	111
50	113	108
51	114	105
52	116	103
53	117	100
54	119	97
55	120	94
56	122	92
57	123	89
58	125	87
59	127	84
60	129	82
61	131	80
62	133	78
63	134	75
64	136	73
65	138	71
66	139	68
67	141	66
68	143	64
69	144	62
70	146	59
71	148	57
72	150	55
73	151	53
74	153	51
75	154	48
76	156	46
77	158	44
78	159	42
79	161	40
80	162	38
81	164	36
82	165	33
83	167	31
84	169	29
85	171	27
86	173	25
87	175	23
88	177	21
89	180	20
90	182	18
91	184	16
92	187	14
93	189	12
94	191	10
95	193	8
96	195	6
97	197	4
98	199	2
99	201	0
